,id,NB,LR,VD
209,800716173553922048,positive,neutral,neutral
210,800723415946690048,positive,neutral,neutral
211,800738174926392960,positive,neutral,neutral
212,800746611991265024,positive,positive,neutral
213,800782409721643008,negative,neutral,neutral
214,800789829332123008,neutral,neutral,neutral
215,800790473422077056,neutral,neutral,neutral
216,800832352977042944,neutral,neutral,neutral
217,800840270933856000,negative,neutral,neutral
218,800859596046946048,neutral,neutral,neutral
219,800865829571230976,neutral,neutral,neutral
220,800873915920722944,neutral,neutral,neutral
221,800882257611341056,positive,positive,neutral
222,800893936910893056,positive,neutral,neutral
223,800903090685799936,neutral,neutral,neutral
224,800903635714632960,neutral,positive,neutral
225,800916213622770944,positive,neutral,neutral
226,800922542902898048,negative,neutral,neutral
227,800922746603666944,positive,positive,neutral
228,800939568237264000,negative,neutral,neutral
229,800945549121712000,positive,positive,positive
230,801020626907430016,negative,neutral,neutral
231,801040426052434944,positive,positive,neutral
232,801050963192724992,positive,neutral,neutral
233,801053718867155968,neutral,neutral,positive
234,801094889442263040,positive,neutral,neutral
235,801095824566603008,neutral,neutral,neutral
236,801101801181233024,positive,positive,positive
237,801107150034660992,positive,neutral,neutral
238,801125318262198016,positive,neutral,neutral
239,801128198146845952,negative,neutral,neutral
240,801129880494574976,neutral,neutral,neutral
241,801173495983918976,neutral,neutral,neutral
242,801178157625720064,neutral,neutral,neutral
243,801184553800862976,positive,positive,neutral
244,801193239252376960,neutral,neutral,neutral
245,801204292552002944,positive,positive,neutral
246,801209843499400960,negative,neutral,neutral
247,801231669818702976,negative,neutral,neutral
248,801238974736067968,neutral,neutral,neutral
249,801249621888614016,neutral,neutral,neutral
250,801249871030263040,neutral,neutral,neutral
251,801272421651255040,negative,negative,neutral
252,801275523196391040,positive,positive,positive
253,801285192224685952,positive,positive,neutral
254,801286137553779968,negative,neutral,neutral
255,801298267241873024,neutral,neutral,neutral
256,801299069192859008,positive,neutral,neutral
257,801309546341953024,neutral,neutral,neutral
258,801315222808096000,neutral,neutral,neutral
259,801328326195444992,neutral,neutral,neutral
260,801339996561088000,neutral,neutral,neutral
261,801362225084715008,positive,neutral,neutral
262,801386354873465984,positive,neutral,positive
263,801388810114333952,positive,neutral,neutral
264,801397499437124992,positive,neutral,neutral
265,801414464490864000,negative,neutral,neutral
266,801459954477624960,neutral,neutral,neutral
267,801460902021111040,positive,neutral,neutral
268,801471137226092032,neutral,neutral,neutral
269,801482653677617024,neutral,neutral,neutral
270,801504292633014016,neutral,neutral,neutral
271,801572825924411008,neutral,neutral,neutral
272,801595033606568960,positive,neutral,neutral
273,801605846270692992,neutral,neutral,neutral
274,801617480342994048,neutral,positive,neutral
275,801629985589038976,positive,positive,neutral
276,801650023402508032,neutral,neutral,neutral
277,801695420506214016,positive,neutral,neutral
278,801700908841234048,negative,neutral,neutral
279,801715308297879040,positive,neutral,neutral
280,801754848488291968,negative,neutral,neutral
281,801811234773405056,positive,neutral,neutral
282,801862284003970944,positive,neutral,neutral
283,801896168427060992,neutral,neutral,neutral
284,801915234256502016,positive,neutral,neutral
285,801917491639451008,positive,neutral,neutral
286,801917685214941056,positive,negative,neutral
287,801933153820621952,neutral,positive,positive
288,801953279827704960,positive,neutral,neutral
289,801954164095859968,positive,neutral,neutral
290,801960741523885952,neutral,neutral,neutral
291,801990029987970944,neutral,neutral,neutral
292,802000634555809024,neutral,neutral,neutral
293,802002400609468032,negative,negative,neutral
294,802007216135938048,positive,neutral,neutral
295,802010830791286016,positive,neutral,neutral
296,802027469905784064,positive,neutral,neutral
297,802032968613010944,neutral,neutral,neutral
298,802049140058427008,negative,neutral,neutral
299,802049650182196992,positive,positive,neutral
300,802161940877442944,positive,positive,positive
301,802165440814386944,negative,neutral,neutral
302,801725332227230976,neutral,negative,neutral
303,801737712533389056,neutral,neutral,neutral
304,801752312477842944,neutral,negative,positive
305,801761121069923968,negative,neutral,negative
306,801761425320537984,positive,neutral,neutral
307,801765063929499008,negative,neutral,neutral
308,801778268923956992,neutral,neutral,neutral
309,801778334891965952,neutral,neutral,positive
310,801780792179432960,negative,negative,negative
311,801787803541576960,negative,negative,negative
312,801788231708770048,negative,negative,negative
313,801789161288121984,negative,negative,negative
314,801798660824690048,negative,negative,neutral
315,801798933538279040,negative,negative,negative
316,801801687635660032,negative,neutral,neutral
317,801802492052962944,negative,positive,positive
318,801806376691465984,negative,negative,neutral
319,801813705101025024,neutral,neutral,neutral
320,801814423505670016,negative,neutral,positive
321,801814461518461952,negative,neutral,negative
322,801828245217755008,negative,negative,neutral
323,801828328676195968,neutral,neutral,neutral
324,801829730202898048,neutral,neutral,neutral
325,801829997077995008,negative,positive,negative
326,801834018056663040,negative,positive,negative
327,801837488851401984,negative,negative,negative
328,801838673662791040,negative,negative,neutral
329,801838826981208064,negative,positive,neutral
330,801839086843624960,neutral,neutral,neutral
331,801839454235160064,negative,negative,neutral
332,801840578061208960,negative,negative,negative
333,801843233399644032,negative,neutral,neutral
334,801853736268210048,negative,negative,negative
335,801857464446648064,neutral,neutral,neutral
336,801857488312110976,negative,negative,neutral
337,801865990896107008,neutral,neutral,neutral
338,801866053206834944,neutral,neutral,neutral
339,801866493013069056,negative,neutral,negative
340,801868850371276032,neutral,negative,negative
341,801873644381208064,negative,negative,neutral
342,801873678929719040,negative,negative,negative
343,801876256979558016,neutral,neutral,neutral
344,801883751970172032,negative,negative,neutral
345,801885020478652032,neutral,neutral,negative
346,801889771496710016,negative,negative,neutral
347,801890614543518976,negative,negative,neutral
348,801890992014012032,negative,neutral,positive
349,801892619823575040,negative,negative,neutral
350,801893122544455040,neutral,neutral,neutral
351,801894589972040960,neutral,neutral,positive
352,801900451721515008,neutral,positive,positive
353,801908431070359040,negative,neutral,neutral
354,801912310231138048,negative,negative,negative
355,801916412604215040,negative,negative,neutral
356,801916856336579968,negative,positive,positive
357,801933766826475008,negative,positive,negative
358,801938526803737984,negative,neutral,negative
359,801939860894445056,negative,positive,positive
360,801951928976632960,negative,negative,positive
361,801952841032035968,neutral,neutral,neutral
362,801966926859672960,neutral,neutral,neutral
363,801976284318493952,negative,negative,neutral
364,801990079086558976,neutral,positive,positive
365,801992672047033984,negative,neutral,negative
366,801995675269401984,negative,negative,negative
367,802006334115901056,negative,neutral,neutral
368,802012274701597952,negative,negative,neutral
369,802012381010337024,negative,neutral,neutral
370,802014331235921024,neutral,neutral,neutral
371,802015479497949056,neutral,neutral,neutral
372,802016248418668032,negative,negative,negative
373,802016729660530048,negative,negative,neutral
374,802017752340987008,neutral,neutral,negative
375,802026395731894016,negative,negative,negative
376,802027636453216000,neutral,neutral,neutral
377,802032273449171968,negative,negative,neutral
378,802044582359928064,neutral,neutral,neutral
379,802048485256137984,neutral,neutral,neutral
380,802054005350432000,negative,negative,neutral
381,802070505809476992,negative,neutral,neutral
382,802077549211873024,positive,positive,positive
383,802085409970932992,neutral,neutral,neutral
384,802150077284384000,negative,neutral,negative
385,802153619386667008,neutral,negative,neutral
386,802154858681863936,neutral,neutral,neutral
387,802155914421828992,negative,negative,negative
388,802156911584013952,negative,positive,neutral
389,802161594100813056,positive,neutral,neutral
390,802162826622173056,negative,neutral,neutral
391,802164572060793984,negative,negative,neutral
392,802169793990098048,negative,negative,negative
393,802174461323656960,negative,neutral,neutral
394,802179135783206016,positive,neutral,negative
395,802185400915737984,negative,neutral,neutral
396,802185807377337984,neutral,neutral,neutral
397,802186265865101056,negative,positive,neutral
398,802188867566587008,negative,negative,negative
399,802192964021865984,neutral,neutral,neutral
400,802201510146961024,negative,neutral,neutral
401,802205416193223936,neutral,neutral,neutral
402,802086680719138048,positive,positive,neutral
403,802091462372494976,neutral,neutral,neutral
404,802099862950931968,positive,neutral,positive
405,802100697776865024,neutral,neutral,negative
406,802104077073218944,negative,positive,neutral
407,802105132083191040,positive,neutral,neutral
408,802109667308669952,neutral,neutral,neutral
409,802111629676702976,neutral,neutral,neutral
410,802112231076925056,positive,positive,neutral
411,802115031123053952,negative,neutral,positive
412,802115375701852032,neutral,positive,neutral
413,802115501014982016,negative,neutral,neutral
414,802116307063897984,negative,neutral,neutral
415,802117316804800000,neutral,neutral,neutral
416,802117496472043008,positive,neutral,neutral
417,802119362689777024,positive,neutral,neutral
418,802119669478030976,positive,positive,neutral
419,802121516942913024,negative,negative,neutral
420,802122249851506048,positive,positive,neutral
421,802122310799003008,negative,neutral,neutral
422,802123471534903040,negative,positive,neutral
423,802130448486984960,positive,positive,neutral
424,802131620866030976,neutral,neutral,neutral
425,802134125901741952,positive,positive,positive
426,802135547410055040,neutral,neutral,neutral
427,802136013179124992,positive,positive,neutral
428,802136089741982976,negative,neutral,negative
429,802137244710662016,neutral,neutral,neutral
430,802139074857435008,negative,positive,neutral
431,802139302956301952,neutral,neutral,neutral
432,802139583752322944,positive,neutral,positive
433,802139792163081984,neutral,neutral,neutral
434,802140210268139008,negative,positive,positive
435,802140264588413952,negative,neutral,neutral
436,802141345599155968,positive,positive,neutral
437,802143234638146944,positive,neutral,neutral
438,802146351584787968,positive,positive,positive
439,802146918679854976,positive,positive,positive
440,802147258733105024,neutral,negative,neutral
441,802148742530998016,positive,neutral,neutral
442,802150852555341056,negative,negative,neutral
443,802153243354812032,neutral,positive,neutral
444,802153969372056960,neutral,neutral,neutral
445,802157068228627968,positive,positive,positive
446,802157185337884032,negative,positive,positive
447,802161140155321984,positive,positive,positive
448,802161893997767936,positive,positive,positive
449,802162173145325056,neutral,neutral,neutral
450,802162304137694976,neutral,neutral,neutral
451,802164856610754048,negative,neutral,neutral
452,802165553578306944,positive,positive,neutral
453,802165840812579968,negative,negative,negative
454,802166639944932992,negative,neutral,neutral
455,802170011402072064,negative,neutral,neutral
456,802172046004391040,negative,positive,positive
457,802172489598177024,positive,neutral,negative
458,802173666645732992,positive,neutral,neutral
459,802173721645607936,positive,positive,positive
460,802174116384096000,positive,positive,positive
461,802174755457604992,negative,negative,neutral
462,802175156487474944,positive,positive,neutral
463,802175472033415040,positive,neutral,neutral
464,802177048638849024,negative,neutral,neutral
465,802178575399088000,neutral,neutral,negative
466,802178965876173952,neutral,positive,neutral
467,802183295643581952,neutral,neutral,neutral
468,802183688809287040,negative,negative,neutral
469,802183883160697984,positive,positive,positive
470,802184603293187968,negative,neutral,neutral
471,802184604610199040,positive,positive,neutral
472,802185296859328000,neutral,neutral,neutral
473,802187596088672000,positive,neutral,neutral
474,802187703341170048,positive,positive,positive
475,802188146905672960,positive,positive,positive
476,802188338862112000,negative,neutral,neutral
477,802188884679527936,negative,negative,neutral
478,802189324489986048,negative,positive,positive
479,802189719496952960,positive,positive,positive
480,802190271438000000,negative,positive,positive
481,802190760548466048,positive,neutral,neutral
482,802191010130444032,positive,positive,positive
483,802191249067376000,positive,positive,positive
484,802191573303917952,positive,neutral,positive
485,802192621074599040,negative,neutral,neutral
486,802192681355083008,positive,positive,positive
487,802193459046190976,positive,positive,neutral
488,802193991651495040,positive,neutral,negative
489,802194395684600960,positive,positive,positive
490,802195201456569984,negative,positive,positive
491,802195320352472960,neutral,neutral,neutral
492,802195597453328000,positive,positive,positive
493,802198189336129024,positive,positive,positive
494,802199387392839040,neutral,neutral,neutral
495,802200727242292992,negative,positive,neutral
496,802202846909369984,negative,positive,positive
497,802203120529014016,positive,neutral,positive
498,802203873347858048,positive,positive,positive
499,802203873951805056,positive,neutral,neutral
500,802204858111683968,positive,positive,neutral
501,802205387038539008,neutral,neutral,neutral
502,801690860077404032,neutral,neutral,neutral
503,801692352154835968,negative,neutral,neutral
504,801693282887748992,negative,negative,negative
505,801696003791474048,negative,neutral,neutral
506,801712140835060992,positive,neutral,positive
507,801719285466939008,neutral,neutral,negative
508,801722477512716032,negative,negative,neutral
509,801727167629590016,neutral,neutral,neutral
510,801733920408514048,neutral,neutral,neutral
511,801733965061192960,neutral,neutral,neutral
512,801737089192706048,negative,neutral,neutral
513,801740246874471936,negative,negative,neutral
514,801746723706178944,negative,neutral,neutral
515,801750801744011008,negative,negative,neutral
516,801753198793003008,neutral,neutral,neutral
517,801768318369668992,negative,neutral,neutral
518,801770424505921024,positive,neutral,neutral
519,801774039844929024,negative,neutral,neutral
520,801774228425112960,neutral,neutral,negative
521,801775674038091008,negative,neutral,neutral
522,801775682246372992,neutral,neutral,neutral
523,801782323167554944,negative,neutral,negative
524,801784806292000000,negative,neutral,neutral
525,801787699074043008,negative,neutral,neutral
526,801789530198118016,negative,neutral,negative
527,801791188546227968,negative,neutral,negative
528,801791694031224064,negative,negative,negative
529,801791878974898048,neutral,positive,negative
530,801797050853654016,negative,positive,neutral
531,801797123612246016,negative,neutral,positive
532,801798328379965056,negative,positive,negative
533,801800700455895040,negative,neutral,neutral
534,801801251419660032,negative,negative,negative
535,801801514658496000,negative,neutral,neutral
536,801801976996568960,negative,negative,negative
537,801805291847319040,negative,neutral,neutral
538,801808928287981056,neutral,neutral,neutral
539,801811268843831040,negative,negative,neutral
540,801813925574668032,negative,neutral,neutral
541,801814477826064000,positive,positive,positive
542,801817830689741952,negative,neutral,neutral
543,801819351217270016,negative,neutral,positive
544,801831537310310016,negative,negative,neutral
545,801832293493051008,negative,neutral,negative
546,801832884491419008,negative,neutral,neutral
547,801835048110407040,negative,neutral,neutral
548,801835494023789952,negative,neutral,neutral
549,801841873543396992,negative,negative,negative
550,801843108614786944,negative,neutral,negative
551,801848682379443968,neutral,neutral,neutral
552,801850034337841024,neutral,neutral,negative
553,801851378092150016,negative,neutral,negative
554,801863027356114048,negative,negative,negative
555,801863379480625024,negative,negative,negative
556,801869486227913984,negative,neutral,neutral
557,801870575887073024,neutral,neutral,negative
558,801884498396900992,negative,neutral,negative
559,801888196326018944,negative,neutral,neutral
560,801889339458338048,negative,neutral,neutral
561,801894097850077056,neutral,neutral,negative
562,801895281851768064,negative,neutral,negative
563,801895751790034048,neutral,neutral,neutral
564,801897077697575936,negative,neutral,neutral
565,801899134227778944,neutral,neutral,neutral
566,801906899113410048,negative,neutral,neutral
567,801907272997858944,neutral,neutral,neutral
568,801907759725821056,negative,neutral,neutral
569,801909898141462016,neutral,neutral,neutral
570,801913327807069952,neutral,neutral,neutral
571,801943174818263040,negative,neutral,neutral
572,801950880786500992,negative,negative,negative
573,801954802930434048,negative,neutral,positive
574,801958502881229952,negative,neutral,neutral
575,801958856276327936,neutral,neutral,neutral
576,801965071534530048,neutral,positive,positive
577,801998925548945024,negative,neutral,neutral
578,802031356830051968,negative,neutral,negative
579,802090204500724992,negative,neutral,negative
580,802091723488984960,neutral,neutral,negative
581,802096369179750016,neutral,neutral,neutral
582,802105757831458048,positive,positive,positive
583,802110064404246016,neutral,neutral,neutral
584,802111215707241984,negative,neutral,neutral
585,802116308376681984,negative,negative,neutral
586,802118230668114944,neutral,neutral,neutral
587,802140202999442944,negative,neutral,neutral
588,802141883308899968,negative,neutral,neutral
589,802150047421000960,neutral,neutral,neutral
590,802154364118908032,negative,neutral,negative
591,802172551074082048,neutral,neutral,neutral
592,802178539630002048,neutral,neutral,positive
593,802178994061922048,negative,negative,neutral
594,802180804084263936,neutral,neutral,neutral
595,802200694614683008,negative,neutral,negative
596,802203672918818048,neutral,neutral,neutral
597,802194211021945984,negative,negative,neutral
598,802194354584567040,negative,negative,neutral
599,802194604007243008,negative,neutral,neutral
600,802194706079895040,positive,neutral,neutral
601,802194706897649024,negative,neutral,neutral
602,802194920207425024,negative,neutral,neutral
603,802195172209593984,negative,negative,neutral
604,802195251725271040,negative,neutral,neutral
605,802195302325320960,negative,neutral,negative
606,802195530440932992,negative,negative,neutral
607,802195628604301056,negative,negative,negative
608,802195734204386944,negative,neutral,negative
609,802195967776854016,negative,neutral,neutral
610,802196251911409024,negative,negative,neutral
611,802196273746963968,negative,negative,negative
612,802196394891063040,negative,neutral,neutral
613,802196402038304000,negative,neutral,negative
614,802196435534052992,negative,negative,negative
615,802196540873849984,negative,neutral,negative
616,802196559727206016,negative,negative,neutral
617,802196595613831040,negative,neutral,neutral
618,802196625154150016,negative,negative,neutral
619,802196931925708032,negative,neutral,neutral
620,802197305940184960,negative,negative,negative
621,802197383949880960,negative,negative,negative
622,802197564015508992,neutral,neutral,neutral
623,802198206465575936,negative,negative,neutral
624,802198226887646976,positive,neutral,neutral
625,802198295615520000,negative,negative,neutral
626,802198440478440960,negative,negative,neutral
627,802198518475684992,negative,neutral,neutral
628,802198614349152000,negative,negative,neutral
629,802198761481108992,negative,neutral,negative
630,802199081221241984,negative,negative,positive
631,802199350600461952,negative,negative,negative
632,802199535212706944,negative,negative,neutral
633,802200208826387968,negative,negative,positive
634,802200321808276992,negative,neutral,neutral
635,802200618333073024,negative,negative,negative
636,802205783647624960,positive,neutral,neutral
637,802205853642264064,negative,negative,negative
638,802205897934195968,negative,negative,neutral
639,802206104063245952,negative,neutral,neutral
640,802206125009619968,negative,negative,neutral
641,802206140851453056,negative,neutral,neutral
642,802206197940034944,neutral,positive,neutral
643,802206266286345984,neutral,neutral,neutral
644,802206296804065024,negative,negative,neutral
645,802206599695757056,negative,negative,neutral
646,802206615998844032,negative,neutral,neutral
647,802206798614667008,negative,negative,neutral
648,802206999907803008,positive,positive,neutral
649,802207280557015040,negative,negative,neutral
650,802207317638914048,negative,negative,negative
651,802207341949186048,neutral,neutral,neutral
652,802207674096033024,negative,positive,neutral
653,802207786188865024,positive,neutral,neutral
654,802207865993826048,neutral,neutral,negative
655,802207884582845952,negative,positive,neutral
656,802208065093136000,negative,neutral,neutral
657,802208351610343040,negative,neutral,neutral
658,802208359936093952,negative,positive,neutral
659,802208678753352960,negative,negative,negative
660,802209036141740032,negative,neutral,neutral
661,802209171538145024,negative,negative,neutral
662,802209240395943040,negative,negative,neutral
663,802209286164246016,positive,positive,neutral
664,802209928689683968,negative,neutral,negative
665,802209930040242048,negative,neutral,neutral
666,802210274510065024,negative,negative,negative
667,802210448280092032,negative,neutral,negative
668,802210539661364992,negative,neutral,neutral
669,802210575380049024,negative,neutral,neutral
670,802210671723245056,neutral,negative,neutral
671,802211087592594944,negative,neutral,neutral
672,802211182555737984,negative,negative,negative
673,802211249006252032,negative,neutral,neutral
674,802211399648903040,negative,negative,positive
675,802211418338717056,negative,neutral,neutral
676,802211547347042048,negative,neutral,neutral
677,802211764888801024,negative,negative,neutral
678,802211996376697984,negative,negative,neutral
679,802212063875448064,negative,neutral,neutral
680,802212264707320960,negative,negative,neutral
681,802212371301284992,negative,negative,neutral
682,802212554948930944,negative,neutral,neutral
683,802212570501364992,neutral,neutral,neutral
684,802212833266139008,negative,positive,positive
685,802212876207452032,negative,negative,neutral
686,802213069875122048,positive,neutral,neutral
687,802213473744722944,negative,neutral,neutral
688,802213733988605056,negative,negative,positive
689,802214382352465024,negative,neutral,negative
690,802214575986932992,negative,neutral,negative
691,802214585122036992,negative,negative,negative
692,802214597306433024,negative,negative,positive
693,802214671772188032,negative,negative,neutral
694,802214764734775040,negative,negative,negative
695,802214904367225984,negative,negative,negative
696,802076227972504960,negative,neutral,neutral
697,802076353948504064,neutral,neutral,positive
698,802076551940541952,negative,neutral,neutral
699,802077762299182976,negative,neutral,neutral
700,802077910639132032,neutral,neutral,neutral
701,802079774168465024,positive,positive,positive
702,802081397066395008,negative,neutral,neutral
703,802081920288836992,positive,positive,neutral
704,802085507907943936,negative,neutral,neutral
705,802086170716990976,negative,neutral,neutral
706,802086881307611008,negative,neutral,neutral
707,802093424635772032,negative,negative,neutral
708,802097891703716992,neutral,neutral,neutral
709,802100258884886016,neutral,neutral,neutral
710,802108169065467008,negative,neutral,neutral
711,802110580807044992,neutral,neutral,neutral
712,802111140973214976,negative,negative,negative
713,802113895959624960,negative,negative,neutral
714,802115602051723008,positive,positive,neutral
715,802118950347632000,negative,neutral,neutral
